Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.13344788087056128,FAILURE,0.016320572332564908,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CENTER,1785483666.289,
0.13083003952569167,SUCCESS,0.007938395761030762,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,FAR,1785487852.085,
0.13035961272475796,FAILURE,0.015715076300295595,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785488377.105,
0.12999357739242134,FAILURE,0.01902131797563479,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785499990.550,
0.12959251837007346,FAILURE,0.009786090058606069,ASYM_RECT,LARGE,RIGID,STRING,FRONT,CENTER,1785500782.819,
0.1284163473818646,FAILURE,0.016636579383518715,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CLOSE,1785478417.302,
0.12643427741466956,SUCCESS,0.01149802407863414,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,FAR,1785499030.599,
0.12522202486678505,FAILURE,0.01749183050588408,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785486467.479,
0.12271436683702441,FAILURE,0.0162668151416666,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CLOSE,1785483022.083,
0.1208904109589041,FAILURE,0.020520261174012365,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465281.204,
0.1197377501725328,FAILURE,0.022736484970319448,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491621.959,
0.11406060606060604,FAILURE,0.019036143970664915,ASYM_RECT,LARGE,RIGID,STRING,FRONT,CENTER,1785500123.057,
0.11241590214067278,FAILURE,0.013659849749187974,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785465120.639,
0.10884235020360673,FAILURE,0.020005056397262088,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785464983.663,
0.10716004813477738,FAILURE,0.012193883769263255,CYLINDER,SMALL,RIGID,STRING,FRONT,FAR,1785464588.622,
0.10700123915737297,FAILURE,0.01761317546573328,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482697.043,
0.10685111989459818,SUCCESS,0.014738151855069232,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478701.271,
0.10678524374176547,SUCCESS,0.008969935051114057,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480104.935,
0.10485731633272617,FAILURE,0.010711788668742266,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482766.558,
0.10475113122171945,SUCCESS,0.008712648025694299,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,FAR,1785499092.503,
0.10150806032241289,FAILURE,0.016558404489008336,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,FAR,1785480812.871,
0.1007724301841949,FAILURE,0.015758162163030984,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785479858.988,
0.10046511627906977,FAILURE,0.01639264344163599,TRI_PRISM,LARGE,RIGID,FREE,FRONT,FAR,1785494756.846,
0.100150489089541,SUCCESS,0.008837586612870619,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546347.601,
0.0990358126721763,SUCCESS,0.0045233952447509525,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482463.359,
0.09774193548387096,FAILURE,0.014356596994658244,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,FAR,1785484489.128,
0.09740484429065743,FAILURE,0.01695365040468767,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785483904.923,
0.09727095516569201,FAILURE,0.029378741037414828,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461353.720,
0.09669073405535498,FAILURE,0.024790057637717793,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481139.875,
0.09508090614886731,FAILURE,0.017239035885705613,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,FAR,1785498819.695,
0.0948005698005698,SUCCESS,0.010073521844461503,PLANE,SMALL,COMPLIANT,FREE,FRONT,FAR,1785545634.528,
0.09330682571239232,FAILURE,0.02163130294892373,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492063.063,
0.09299279633267844,FAILURE,0.009561118430815568,ASYM_RECT,LARGE,RIGID,STRING,FRONT,FAR,1785498739.662,
0.09260089686098653,FAILURE,0.01234472294278736,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499888.396,
0.09189765458422174,FAILURE,0.01617891055409694,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497510.898,
0.0916015625,SUCCESS,0.010818663468343443,CYLINDER,SMALL,RIGID,STRING,FRONT,FAR,1785464510.679,
