Symmetry,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.8123743232791957,SUCCESS,0.020414858362689962,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486735.586,
0.8123547400611622,SUCCESS,0.02796027077186421,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481010.761,
0.8085748792270532,FAILURE,0.034715875451111995,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494167.804,
0.8075373619233269,FAILURE,0.05981321742655197,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461353.720,
0.8074866310160428,FAILURE,0.030618147536267532,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785479858.988,
0.8005710206995004,SUCCESS,0.016492595263903637,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477424.297,
0.7991373998767715,SUCCESS,0.04767609741201613,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464391.102,
0.7959156785243742,SUCCESS,0.02594066943189461,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477490.536,
0.795583160800552,FAILURE,0.04022857081610145,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491621.959,
0.7953757225433526,SUCCESS,0.020999213490079282,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486157.481,
0.7928104575163398,SUCCESS,0.01297554876125639,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546728.171,
0.7883299798792758,SUCCESS,0.013887315458086913,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544741.595,
0.7877470355731225,SUCCESS,0.018127109847038716,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480104.935,
0.7864773495605138,SUCCESS,0.02301110706200657,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461284.810,
0.7861946902654868,SUCCESS,0.0239814666579135,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479143.885,
0.7859289617486339,SUCCESS,0.03278512087825187,CYLINDER,LARGE,RIGID,STRING,FRONT,CENTER,1785490640.384,
0.7847107438016531,SUCCESS,0.007590951259125727,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546235.909,
0.7814432989690722,SUCCESS,0.021374848269513202,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785493820.692,
0.7802385008517888,SUCCESS,0.02364526291177178,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,FAR,1785487779.990,
0.7758169934640523,SUCCESS,0.018343257390278696,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482322.625,
0.7752525252525253,SUCCESS,0.030542550860417673,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479672.902,
0.7745704467353951,FAILURE,0.028018059117729116,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CENTER,1785483666.289,
0.77280118255728,SUCCESS,0.02335838324275491,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497896.888,
